   atha kāvyā3darśaḥ	aTa kAvyA3darSaH
   Pariccheda 1	Pari=-CedaH 1
   catur-mukha-mukhā1mbho-ja- $ vana-haṃsa-vadhūr mama &	catur-muKa-muKa-a1mBo--ja $ vana--haMsa--vaDUH mama &
   mānase ramatāṃ dīrghaṃ % sarva-śuklā sarasvatī // 1.1 //	mAnase ramatAm dIrGam % sarva-SuklA sarasvatI // 1.1 //
   pūrva-śāstrāṇi saṃ-hṛtya $ pra-yogān upa-lakṣya ca &	pUrva--SAstrANi saM-hRtya $ pra-yogAn upa-lakzya ca &
   yathā-sāmarthyam asmābhiḥ % kriyate kāvya-lakṣaṇam // 1.2 //	yaTA--sAmarTyam asmABiH % kriyate kAvya--lakzaNam // 1.2 //
   iha śiṣṭā1nu-śiṣṭānāṃ $ śiṣṭānām api sarva-thā &	iha SizwA1nu-SizwAnAm $ SizwAnAm api sarva-TAH &
   vācām eva pra-sādena % loka-yātrā pra-vartate // 1.3 //	vAcAm eva pra-sAdena % loka-yAtrA pra-vartate // 1.3 //
   idam andhaṃ(-)tamaḥ kṛtsnaṃ $ jāyeta bhuvana-trayam &	idam anDaM(-)tamaH kRtsnam $ jAyeta Buvana-trayam &
   yadi śabdā3-hvayaṃ jyotir % ā-saṃ-sāraṃ na dīpyate // 1.4 //	yadi SabdA3-hvayam jyotiH % A-saM-sAram na dIpyate // 1.4 //
   ādi-rāja-yaśo-bimbam $ ā-darśaṃ prā3pya vāṅ-mayam &	Adi-rAja--yaSo--bimbam $ A-darSam prA3pya vAc--mayam &
   teṣām a-saṃ-ni-dhāne 'pi % na svayaṃ paśya naśyati // 1.5 //	tezAm a-saM-ni-DAne api % na svayam paSya naSyati // 1.5 //
   gaur gauḥ kāma-dughā samyak $ pra-yuktā smaryate budhaiḥ &	gOH gOH kAma-duGA samyak $ pra-yuktA smaryate buDEH &
   duṣ-pra-yuktā punar go-tvaṃ % pra-yoktuḥ sai0va śaṃsati // 1.6 //	duz-pra-yuktA punar go-tvam % pra-yoktuH sA-e0va SaMsati // 1.6 //
   tad alpam api no7pe3kṣyaṃ $ kāvye duṣṭaṃ kathaṃ cana &	tat alpam api na-u7pe3kzyam $ kAvye duzwam kaTam cana &
   syād vapuḥ sundaram api % śvitreṇai8kena dur-bhagam // 1.7 //	syAt vapuH sundaram api % SvitreNa-E8kena dur-Bagam // 1.7 //
   guṇa-doṣān a-śāstra-jñaḥ $ kathaṃ vi-bhajate naraḥ &	guNa--dozAn a-SAstra-jQaH $ kaTam vi-Bajate naraH &
   kim andhasyā7dhi-kāro 'sti % rūpa-bhedo1pa-labdhiṣu // 1.8 //	kim anDasya-a7Di-kAraH asti % rUpa--BedaH-1pa-labDizu // 1.8 //
   ataḥ pra-jānāṃ vy-ut-pattim $ abhi-saṃ-dhāya sūrayaḥ &	atas pra-jAnAm vy-ut-pattim $ aBi-saM-DAya sUrayaH &
   vācāṃ vi-citra-mārgāṇāṃ % ni-babandhuḥ kriyā-vidhim // 1.9 //	vAcAm vi-citra--mArgANAm % ni-ba-banDuH kriyA--viDim // 1.9 //
   taiḥ śarīraṃ ca kāvyānām $ alaṃ-kārāś ca darśitāḥ &	tEH SarIram ca kAvyAnAm $ alaM-kArAH ca darSitAH &
   śarīraṃ tāvad-iṣṭā1rtha- % vy-ava-cchinnā padā3valī // 1.10 //	SarIram tAvat--izwa-a1rTa % vy-ava-cCinnA padA3valI // 1.10 //
   padyaṃ gadyaṃ ca miśraṃ ca $ tat tri-dhai0va vy-ava-sthitam &	padyam gadyam ca miSram ca $ tat tri-DA-e0va vy-ava-sTitam &
   padyaṃ catuṣ-padī tac ca % vṛttaṃ jātir iti dvi-dhā // 1.11 //	padyam catuz-padI tat ca % vRttam jAtiH iti dvi-DA // 1.11 //
   chando-vi-cityāṃ sakalas $ tat-pra-bandho ni-darśitaḥ &	Cando--vi-cityAm sakalaH $ tat--pra-banDaH ni-darSitaH &
   sā vidyā naus vivikṣūṇāṃ % gambhīraṃ kāvya-sāgaram // 1.12 //	sA vidyA nOH vivikzUNAm % gamBIram kAvya--sAgaram // 1.12 //
   muktakaṃ kulakaṃ kośaḥ $ saṃ-ghāta iti tā-dṛśaḥ &	muktakam kulakam koSaH $ saM-GAtaH iti tA-dRSaH &
   sarga-bandhā1ṃśa-rūpa-tvād % an-uktaḥ padya-vi-staraḥ // 1.13 //	sarga-banDA1MSa--rUpa-tvAt % an-uktaH padya--vi-staraH // 1.13 //
   sarga-bandho mahā-kāvyam $ ucyate tasya lakṣaṇam &	sarga-banDaH mahA--kAvyam $ ucyate tasya lakzaNam &
   āśīr namas-kriyā vastu- % nir-deśo vā9pi tan-mukham // 1.14 //	ASIH namas--kriyA vastu % nir-deSaH vA9pi tan-muKam // 1.14 //
   itihāsa-katho2d-bhūtam $ itarad vā sad-āśrayam &	itihAsa--kaTo2d--BUtam $ itarat vA sat--ASrayam &
   catur-varga-phalā-yattaṃ % caturo1d-ā-tta-nāyakam // 1.15 //	catur-varga--Pala-A-yat-tam % catur-o1d-A-tta-nAyakam // 1.15 //
   nagarā1rṇava-śaila-rtu- $ candrā1rko1daya-varṇanaiḥ &	nagara-a1rNava--SEla--rtu $ candra-a1rkaH-1daya--varNanEH &
   udyāna-salila-krīḍā- % madhu-pāna-rato1t-savaiḥ // 1.16 //	udyAna--salila--krIxA % maDu--pAna--rato1t-savEH // 1.16 //
   vi-pra-lambhair vi-vāhaiś ca $ kumāro1d-aya-varṇanaiḥ &	vi-pra-lamBEH vi-vAhEH ca $ kumAraH-1d-aya--varNanEH &
   mantra-dūta-pra-yāṇā3ji- % nāyakā1bhy-udayair api // 1.17 //	mantra-dUta--pra-yANA3ji % nAyakA1By-udayEH api // 1.17 //
   alaṃ-kṛtam a-saṃ-kṣiptaṃ $ rasa-bhāva-nir-antaram &	alaM-kRtam a-saM-kziptam $ rasa-BAva--nir-antaram &
   sargair an-ati-vi-stīrṇaiḥ % śravya-vṛttaiḥ su-saṃdhibhiḥ // 1.18 //	sargEH an-ati--vi-stIrNEH % Sravya--vRttEH su--saMDiBiH // 1.18 //
   sarva-tra bhinna-vṛttā1ntair $ upe1taṃ loka-rañjanam &	sarva-tra Binna--vRtta-a1ntEH $ upe1tam loka--raQjanam &
   kāvyaṃ kalpo1ttara-sthāyi % jāyate sad-alaṃ-kṛti // 1.19 //	kAvyam kalpaH-1ttara--sTAyi % jAyate sat--alaM-kRti // 1.19 //
   nyūnam apy atra yaiḥ-kaiś-cid $ aṅgaiḥ kāvyaṃ na duṣyati &	nyUnam api atra yEH-ka-ES-cit $ aFgEH kAvyam na duzyati &
   yady upā3-tteṣu saṃ-pattir % ā-rādhayati tad-vidaḥ // 1.20 //	yadi upA3-ttezu saM-pattiH % A-rADayati tad--vidaH // 1.20 //
   guṇa-taḥ prāg upa-nyasya $ nāyakaṃ tena vi-dviṣām &	guNa-taH prAk upa-nyasya $ nAyakam tena vi-dvizAm &
   nir-ā-karaṇam ity eṣa % mārgaḥ pra-kṛti-sundaraḥ // 1.21 //	nir-A-karaNam iti eza % mArgaH pra-kRti-sundaraH // 1.21 //
   vaṃśa-vīrya-śrutā3dīni $ varṇayitvā ripor api &	vaMSa-vIrya--SrutA3-dIni $ varNayitvA ripoH api &
   taj-jayān nāyako3t-karṣa- % varṇanaṃ ca dhinoti naḥ // 1.22 //	taj-jayAt nAya-ko3t-karza % varNanam ca Dinoti naH // 1.22 //
   a-pādaḥ pada-saṃtāno $ gadyam ā-khyāyikā kathā &	a-pAdaH pada--saMtAnaH $ gadyam A-KyAyikA kaTA &
   iti tasya pra-bhedau dvau % tayor ā-khyāyikā kila // 1.23 //	iti tasya pra-BedO dvO % tayoH A-KyAyikA kila // 1.23 //
   nāyakenai8va vācyā9nyā $ nāyakene7tareṇa vā &	nAyakena-e8va vAcyA-a9nyA $ nAyakena-i7tareNa vA &
   sva-guṇā3viṣ-kriyā doṣo % nā7tra bhūtā1rtha-śaṃsinaḥ // 1.24 //	sva---guNA3-viz--kriyA dozaH % na-a7tra BUtA1rTa--SaMsinaH // 1.24 //
   api tv a-ni-yamo dṛṣṭas $ tatrā7py anyair ud-īraṇāt &	api tu a-ni-yamaH dRzwaH $ tatra-a7pi anyEH ud-IraNAt &
   anyo vaktā svayaṃ veti % kī-dṛg vā bheda-lakṣaṇam // 1.25 //	anyaH vaktA svayam vA-iti % kI-dRS vA Beda--lakzaNam // 1.25 //
   vaktraṃ cā7para-vaktraṃ ca $ so1cchvāsa-tvaṃ ca bhedakam &	vaktram ca-a7para-vaktram ca $ so1=-CvAsa--tvam ca Bedakam &
   cihnam ā-khyāyikāyāś cet % pra-saṅgena kathāsv api // 1.26 //	cihnam A-KyAyikAyAH ced % pra-saFgena kaTAsu api // 1.26 //
   āryā4di-vat-praveśaḥ kiṃ $ na vaktrā1para-vaktrayoḥ &	AryA4di-vat--praveSaH kim $ na vaktrA1-para--vaktrayoH &
   bhedaś ca dṛṣṭo lambā3dir % uc-chvāso vā9stu kiṃ tataḥ // 1.27 //	BedaH ca dRzwaH lambA3diH % uc-CvAsaH vA9H-tu kim tatas // 1.27 //
   tat kathā0-khyāyike9ty ekā $ jātiḥ saṃ-jñā-dvayā1ṅkitā &	tat kaTA0-KyAyike9ti ekA $ jAtiH saM-jQA--dvaya-a1FkitA &
   atrai8vā7ntar-bhaviṣyanti % śeṣāś cā8-khyāna-jātayaḥ // 1.28 //	atrE8vA7ntar--Bavizyanti % SezAH ca-a8-KyAna-jAtayaH // 1.28 //
   kanyā-haraṇa-saṃ-grāma- $ vi-pra-lambho1d-ayā3dayaḥ &	kanyA-haraNa--saM-grAma $ vi-pra-lamBaH-1d-ayA3-dayaH &
